orderNumber,productCode,quantityOrdered,priceEach,orderLineNumber,Product,Sales,CustomerNumber,CustomerName,CustomerCountry,CustomerCity,customer_order_status,cust_fname,cust_lname,cust_state,product_vender,order_date,Revenue
10100,S24_3969,49,35.29,1,1936 Mercedes Benz 500k Roadster,"1,729.21",363,Online Diecast Creations Co.,USA,Nashua,Shipped,Dorothy,Young,NH,Red Start Diecast,6-Jan-03,6729.21
10101,S18_2795,26,167.06,1,1928 Mercedes-Benz SSK,"4,343.56",128,"Blauer See Auto, Co.",Germany,Frankfurt,Shipped,Roland,Keitel,NULL,Gearbox Collectibles,9-Jan-03,9343.56
10102,S18_1367,41,43.13,1,1936 Mercedes-Benz 500K Special Roadster,"1,768.33",181,Vitachrome Inc.,USA,NYC,Shipped,Michael,Frick,NY,Studio M Art Models,10-Jan-03,6768.33
10103,S24_2300,36,107.34,1,1962 Volkswagen Microbus,"3,864.24",121,Baane Mini Imports,Norway,Stavern,Shipped,Jonas,Bergulfsen,NULL,Autoart Studio Design,29-Jan-03,8864.24
10104,S12_3148,34,131.44,1,1969 Corvair Monza,"4,468.96",141,Euro+ Shopping Channel,Spain,Madrid,Shipped,Diego,Freyre,NULL,Welly Diecast Productions,31-Jan-03,9468.96
10105,S24_3816,50,75.47,1,1940 Ford Delivery Sedan,"3,773.50",145,Danish Wholesale Imports,Denmark,Kobenhavn,Shipped,Jytte,Petersen,NULL,Carousel DieCast Legends,11-Feb-03,8773.5
10106,S700_2834,32,113.9,1,ATA: B757-300,"3,644.80",278,Rovelli Gifts,Italy,Bergamo,Shipped,Giovanni,Rovelli,NULL,Highway 66 Mini Classics,17-Feb-03,8644.8
10107,S12_2823,21,122,1,2002 Suzuki XREO,"2,562.00",131,Land of Toys Inc.,USA,NYC,Shipped,Kwai,Lee,NY,Unimax Art Galleries,24-Feb-03,7562
10108,S24_3856,40,132,1,1956 Porsche 356A Coupe,"5,280.00",385,Cruz & Sons Co.,Philippines,Makati City,Shipped,Arnold,Cruz,NULL,Classic Metal Creations,3-Mar-03,10280
10109,S18_2870,26,126.72,1,1999 Indy 500 Monte Carlo SS,"3,294.72",486,Motor Mint Distributors Inc.,USA,Philadelphia,Shipped,Rosa,Salazar,PA,Red Start Diecast,10-Mar-03,8294.72
